,index,Unnamed: 0,0,1
0,0,0,"Здравствуйте, хочу оформить кредитную карту на 40000 рублей ",54
1,1,1,"Иван, добрый день. С праздником Троицы. Скажи, можно ли снизить процентную ставку по уже существующей с 2014 г. ипотеке ",12
2,2,2,"А если нам взять кредит и уехать за границу на месяц. Нас выпустят из страны, просто кредит нам на билеты туда , а там у мужа есть деньги, он зделает требуемые документы и мы приедим обратно ",0
3,3,3,"Но я не рассматриваю теперь не ипотечный кредит, а потребительский ",51
4,4,4,Хотелось бы произвести рефенансирование  ,51
5,5,5,"Добрый день , выдается ли ипотечный кредит на покупку квартиры гражданам Украине ? ",52
6,6,6,"Здравствуйте,Ольга!Хотелось бы взять кредит наличными,200000 рублей.Это возможно? ",51
7,7,7,Здравствуйте! Хочу взять кредит ,20
8,8,8,Здравствуй помогите пожалуйста зарегистрироваться в онлайн сбербанк ,8
9,9,9,Я бы хотела взять кредит  ,20
10,10,10,Хочу взять кредит в вашем банке на сумму 300 000руб. ,16
11,11,11,"Здравствуйте,хочу поинтересоваться ,одобрят ли мне кредит  ",64
12,12,12,Желаю оформить кредитную карту лимитом на 50-60 тыс.получаю зарплату на карту сбербанка ,16
13,13,13,Кредит ,20
14,14,14,"Здравствуйте. Можно ли лично, а не через сайт подавать заявку на ипотеку? ",16
15,15,15,"Хотела бы взять кредит наличными,50.000р ",16
16,16,16,"Здравствуйте Анастасия! Я подал требуемые документы на проверку недвижимости в банке, подскажите какой будет для меня процент если я одобрение получу после 5 июня и заключу кредитный договор? ",52
17,17,17,Как я могу установить Сбербанк онлайн на андроиде если последняя шестнадцатая цифра не в водиться  ,71
18,18,18,Можно ли взять кредит на сумму 50 000 тысяч рублей? ,20
19,19,19,Здравствуйте. Как можно узнать одобрили мою заявку по кредиту? ,36
20,20,20,"здравствуйте,хочу взять кредитную карту с бецпроцентным периодом ",19
21,21,21,Я могу через вас оформить кредитную карту? ,16
22,22,22,в отделении Доп.офис №1806/0165 есть перерыв??? ,61
23,23,23,Необходима консультация для кредита на сумму 100 000 рублей. ,20
24,24,24,"Молодежную карта Visa с индивидуальным дизайном, она именная? ",19
25,25,25,Я бы хотела сделать перевод  между СНГ ,29
26,26,26,Скажите нужен кредит в размере 300 000 тыс рублей как вазможно взять в вашем банке ,51
27,27,27,не поступает пороль ,69
28,28,28,"Если она готова, она вас будет ждать 3 месяца, не считая месяц выпуска ",62
29,29,29,"Здравствуйте, подала заявку на кредит онлайн. Сколько ждать решения? ",44
30,30,30,"Добрый день! Я подавал заявку на кредит, сколько рассматривается заявка ",44
31,31,31,"Мы ложили деньги на вклад &amp, quot, Добрый год&amp, quot,  он был на 3 месяца. Время прошло и вклад продлился. А теперь акция прошла и процент уже маленький. Я могу сейчас закрыть этот вклад? ",0
32,32,32,нужно перевыпустить карту. после подачи заявления сколько времени это займёт? ,43
33,33,33,Причина отказа по кредиту  ,72
34,34,34,Анастасия скажите пожалуйста как создать шаблоны чтоб делать переводы так как у меня мейзу и он запрещает рут доступ ,0
35,35,35,Хочу взять кредит ,20
36,36,36,"Здравствуйте! Подскажите, на сколько я понял льготный период (без процентов) по кредитной карте Виза Gold составляет 50 дней со дня открытия карты? Она у меня открыта 02.09.2013 г., заменил  09.2016 г. - дата остается прежней? ",52
37,37,37,Добрый вечер!я оформила пенсию на карту в сьеибанке России.Могу ли я получить к своей карте кредитную карту и какую лучше оформить пенсионеру? ,54
38,38,38,"Здравствуйте! Скажите пожалуйста, есть ли кредиты без поедоставления с п авки о доходах.? Работаю не официально ",51
39,39,39,Здравствуйте. Не могу зарегистрироваться в мобильном приложении. Не приходит СМС с кодом. ,69
40,40,40,Интересует валютный кредит ,52
41,41,41,"Здраствуйте! Возможно ли взять кредит через кредит, он-лайн банк? ",16
42,42,42,Как получить карту Активный влзраст ,16
43,43,43,Я хочу взять кредит  ,20
44,44,44,"Хочу взять в кредит 200 тыс.рублей на два года, имею не выплаченный кредит в 6 месяцев в другом банке. Хотела бы узнать могу ли я этот кредит получить и на каких условиях. ",52
45,45,45,"Здравствуйте, хотелось бы узнать у вас,хочу приобрести 1/2 дома,возможно ли у вас взять ипотеку,стоимость дома 1350000 первоночальный взнос 800 тыс. ",51
46,46,46,"Привет! Можно ли заказать карту онлайн, в другую страну. Я из рб. Можете ли вы ее выслать, что бы мне не ехать самому?  ",16
47,47,47,"Здравствуйте,подскажите пожалуйста какие нужны справки чтобы взять кредит? ",52
48,48,48,Хочу приобрести кредит в вашем банке ,20
49,49,49,Нужно зарегистрировать онлаин банк  ,38
50,50,50,Здравствуйте Анастасия! Меня интересует кредит на развитие ЛПХ ,52
51,51,51,как его можно оформить не оброщаясь в банк ,16
52,52,52,Мне нужна кредитная карта ! ,19
53,53,53,если я вазму потребительский кредит 550 000т.р сколько будет стоить страховка ,51
54,54,54,"Скажите пожалуйста , я недавно переводил крупную сумму , и для этого подключал подтверждение переводов и платежей в контактном центре , чтобы не ошибиться .и у меня такой вопрос , какую максимальную сумму я могу переводить другому клиенту сбербанка не подтверждая в колл центре и не отключая услуги ? Или все таки стоит ее отключить ? ",58
55,55,55,"Здравствуйте, у меня такой вопрос, у меня есть кредит в другом банке и у меня по нему за должность, но через сбербанк я получаю детское пособие в размере 17000, могу ли я оформить у вас кредит под залог квартиры? ",51
56,56,56,Здравствуйте  Георгий я бы хотел взять кредит на покупку машины  ,51
57,57,57,Хочу всять кредит 130000  ,20
58,58,58,Какую сумму кредита можно взять на 5 лет с минимальными процентами? ,20
59,59,59,Получила сообщение о том .что могу оформить кредит ,32
60,60,60,"Здравствуйте, подбор кредита. Сделал все отметки, а в конце ни чего не понятно. ",20
61,61,61,ЗдраствуйтеИрина у меня зарплата 18000 я хотел взять в банке195000 и мне пришло отказ ,72
62,62,62,Я бы хотел узнать о кредите для частного лица на нежилую недвижимость в новостройке ,51
63,63,63,"Добрый день. При сдаче всех документов, в какие сроки одобряется   ипотека? ",44
